catalogNumber;recordNumber;organismName;scientificname;genus;subFamily;family;order;class;phylum;kingdom;locality;sector;stateProvince;country;tribu;subtribu;habitat;decimalLatitude;decimalLongitude;eventDate;species_homepage;dctermns:references;fotografia;vista;sex;comentario;recordedBy;emailautor
02-SRNP-8140-DHJ90289;02-SRNP-8140;;Astraptes viracocha;Astraptes;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Derrumbe;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Nuboso;10,92918;-85,46426;2/12/2002;;;02-SRNP-8140-DHJ90289.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
89-SRNP-92-DHJ38044;89-SRNP-92;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/3581-i-atarnes-sallei-i-hesperiidae;Atarnes sallei;Atarnes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion Maritza;Sector Orosi;Guanacaste;Costa Rica;;;Bosque Seco;10,95727;-85,49514;05/13/1989;;;89-SRNP-92-DHJ38044.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
89-SRNP-92-DHJ38045;89-SRNP-92;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/3581-i-atarnes-sallei-i-hesperiidae;Atarnes sallei;Atarnes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion Maritza;Sector Orosi;Guanacaste;Costa Rica;;;Bosque Seco;10,95727;-85,49514;05/13/1989;;;89-SRNP-92-DHJ38045.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
95-SRNP-435-DHJ38042;95-SRNP-435;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/3581-i-atarnes-sallei-i-hesperiidae;Atarnes sallei;Atarnes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Arenales;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Nuboso;10,92471;-85,46738;2/10/1995;;;95-SRNP-435-DHJ38042.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
95-SRNP-435-DHJ38043;95-SRNP-435;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/3581-i-atarnes-sallei-i-hesperiidae;Atarnes sallei;Atarnes;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Arenales;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Nuboso;10,92471;-85,46738;2/10/1995;;;95-SRNP-435-DHJ38043.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
93-SRNP-4163.1-DHJ33860;93-SRNP-4163.1;;Atrytonopsis ovinia;Atrytonopsis;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Cuesta Canyon Tigre;Sector Santa Rosa;Guanacaste;Costa Rica;;;Bosque Seco;10,81703;-85,64366;07/26/1993;;;93-SRNP-4163.1-DHJ33860.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
93-SRNP-4163.1-DHJ33861;93-SRNP-4163.1;;Atrytonopsis ovinia;Atrytonopsis;Hesperiinae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Cuesta Canyon Tigre;Sector Santa Rosa;Guanacaste;Costa Rica;;;Bosque Seco;10,81703;-85,64366;07/26/1993;;;93-SRNP-4163.1-DHJ33861.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
08-SRNP-30643-DHJ390318;08-SRNP-30643;;Autochton bipunctatus;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Colocho;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,02367;-85,41884;2/26/2008;;;08-SRNP-30643-DHJ390318.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
08-SRNP-30643-DHJ390319;08-SRNP-30643;;Autochton bipunctatus;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Colocho;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,02367;-85,41884;2/26/2008;;;08-SRNP-30643-DHJ390319.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-1654-DHJ39914;03-SRNP-1654;;Autochton Burns01;Autochton;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Raiz;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,02865;-85,48669;02/15/2003;;;03-SRNP-1654-DHJ39914.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-1654-DHJ39915;03-SRNP-1654;;Autochton Burns01;Autochton;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Raiz;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,02865;-85,48669;02/15/2003;;;03-SRNP-1654-DHJ39915.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-32066-DHJ323738;05-SRNP-32066;;Autochton Burns01;Autochton;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Loaiciga;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01983;-85,41342;06/15/2005;;;05-SRNP-32066-DHJ323738.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-32066-DHJ323739;05-SRNP-32066;;Autochton Burns01;Autochton;Eudaminae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Loaiciga;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01983;-85,41342;06/15/2005;;;05-SRNP-32066-DHJ323739.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-45765-DHJ305106;04-SRNP-45765;;Autochton Burns01DHJ02;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Gongora Cerca del Rio;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88295;-85,47446;6/8/2004;;;04-SRNP-45765-DHJ305106.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-45765-DHJ305107;04-SRNP-45765;;Autochton Burns01DHJ02;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Gongora Cerca del Rio;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88295;-85,47446;6/8/2004;;;04-SRNP-45765-DHJ305107.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-46948-DHJ317196;05-SRNP-46948;;Autochton Burns01DHJ02;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Otilio;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88996;-85,47966;8/3/2005;;;05-SRNP-46948-DHJ317196.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-46948-DHJ317197;05-SRNP-46948;;Autochton Burns01DHJ02;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Otilio;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,88996;-85,47966;8/3/2005;;;05-SRNP-46948-DHJ317197.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
06-SRNP-3321-DHJ346482;06-SRNP-3321;;Autochton Burns01DHJ03;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Albergue Crater;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,84886;-85,3281;04/22/2006;;;06-SRNP-3321-DHJ346482.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
06-SRNP-3321-DHJ346483;06-SRNP-3321;;Autochton Burns01DHJ03;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Albergue Crater;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,84886;-85,3281;04/22/2006;;;06-SRNP-3321-DHJ346483.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
06-SRNP-3415-DHJ346480;06-SRNP-3415;;Autochton Burns01DHJ03;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Perdido;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,8794;-85,38607;04/25/2006;;;06-SRNP-3415-DHJ346480.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
06-SRNP-3415-DHJ346481;06-SRNP-3415;;Autochton Burns01DHJ03;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Perdido;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,8794;-85,38607;04/25/2006;;;06-SRNP-3415-DHJ346481.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
01-SRNP-25365-DHJ348922;01-SRNP-25365;;Autochton Burns01DHJ04;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Rio Blanco Abajo;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90037;-85,37254;12/27/2001;;;01-SRNP-25365-DHJ348922.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
01-SRNP-25365-DHJ348923;01-SRNP-25365;;Autochton Burns01DHJ04;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Rio Blanco Abajo;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90037;-85,37254;12/27/2001;;;01-SRNP-25365-DHJ348923.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-17338-DHJ348928;02-SRNP-17338;;Autochton Burns01DHJ04;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Romero;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,00519;-85,47398;7/6/2002;;;02-SRNP-17338-DHJ348928.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
02-SRNP-17338-DHJ348929;02-SRNP-17338;;Autochton Burns01DHJ04;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Romero;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,00519;-85,47398;7/6/2002;;;02-SRNP-17338-DHJ348929.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
01-SRNP-2960-DHJ39906;01-SRNP-2960;;Autochton longipennis;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Corredor;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,87868;-85,38963;08/15/2001;;;01-SRNP-2960-DHJ39906.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
01-SRNP-2960-DHJ39907;01-SRNP-2960;;Autochton longipennis;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Corredor;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,87868;-85,38963;08/15/2001;;;01-SRNP-2960-DHJ39907.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-42624-DHJ306966;04-SRNP-42624;;Autochton zarex;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Puente Rio Negro;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90376;-85,30274;10/27/2004;;;04-SRNP-42624-DHJ306966.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-42624-DHJ306967;04-SRNP-42624;;Autochton zarex;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Puente Rio Negro;Sector Rincon Rain Forest;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90376;-85,30274;10/27/2004;;;04-SRNP-42624-DHJ306967.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-57363-DHJ307890;05-SRNP-57363;;Autochton zarex;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion La Perla;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76737;-85,43313;06/19/2005;;;05-SRNP-57363-DHJ307890.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-57363-DHJ307891;05-SRNP-57363;;Autochton zarex;Autochton;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion La Perla;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76737;-85,43313;06/19/2005;;;05-SRNP-57363-DHJ307891.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
09-SRNP-57008-DHJ518950;09-SRNP-57008;;Bolla evippe;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Camino Pozo Tres;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,77079;-85,37422;07/22/2009;;;09-SRNP-57008-DHJ518950.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
09-SRNP-57008-DHJ518951;09-SRNP-57008;;Bolla evippe;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Camino Pozo Tres;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,77079;-85,37422;07/22/2009;;;09-SRNP-57008-DHJ518951.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
10-SRNP-55103-DHJ523564;10-SRNP-55103;;Bolla evippe;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Ocotea;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76387;-85,3784;01/15/2010;;;10-SRNP-55103-DHJ523564.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
10-SRNP-55103-DHJ523565;10-SRNP-55103;;Bolla evippe;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Ocotea;Sector Mundo Nuevo;Guanacaste;Costa Rica;;;Bosque Seco;10,76387;-85,3784;01/15/2010;;;10-SRNP-55103-DHJ523565.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-3614-DHJ304738;04-SRNP-3614;;Bolla zorillaDHJ02;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Finca San Gabriel;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,87766;-85,39343;07/21/2004;;;04-SRNP-3614-DHJ304738.jpg;dorsal;;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-3614-DHJ304739;04-SRNP-3614;;Bolla zorillaDHJ02;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Finca San Gabriel;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,87766;-85,39343;07/21/2004;;;04-SRNP-3614-DHJ304739.jpg;ventral;;;Daniel H. Janzen;djanzen@sas.upenn.edu
06-SRNP-1939-DHJ340222;06-SRNP-1939;;Bolla zorillaDHJ09;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Corredor;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,87868;-85,38963;3/9/2006;;;06-SRNP-1939-DHJ340222.jpg;dorsal;;;Daniel H. Janzen;djanzen@sas.upenn.edu
06-SRNP-1939-DHJ340223;06-SRNP-1939;;Bolla zorillaDHJ09;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Corredor;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,87868;-85,38963;3/9/2006;;;06-SRNP-1939-DHJ340223.jpg;ventral;;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-5923-DHJ323186;05-SRNP-5923;;Bolla zorillaDHJ11;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Corredor;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,87868;-85,38963;09/21/2005;;;05-SRNP-5923-DHJ323186.jpg;dorsal;;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-5923-DHJ323187;05-SRNP-5923;;Bolla zorillaDHJ11;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Sendero Corredor;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,87868;-85,38963;09/21/2005;;;05-SRNP-5923-DHJ323187.jpg;ventral;;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-3961-DHJ304750;04-SRNP-3961;;Bolla zorillaDHJ13;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Bosque Trampa Malaise;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,8628;-85,3846;8/11/2004;;;04-SRNP-3961-DHJ304750.jpg;dorsal;;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-3961-DHJ304751;04-SRNP-3961;;Bolla zorillaDHJ13;Bolla;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Bosque Trampa Malaise;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,8628;-85,3846;8/11/2004;;;04-SRNP-3961-DHJ304751.jpg;ventral;;;Daniel H. Janzen;djanzen@sas.upenn.edu
01-SRNP-1961-DHJ37738;01-SRNP-1961;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/1007-bungalotis-astylos-hesperidae;Bungalotis astylos;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Rio Cucaracho;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,8702;-85,39153;6/4/2001;;;01-SRNP-1961-DHJ37738.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
01-SRNP-1961-DHJ37739;01-SRNP-1961;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/1007-bungalotis-astylos-hesperidae;Bungalotis astylos;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Vado Rio Cucaracho;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,8702;-85,39153;6/4/2001;;;01-SRNP-1961-DHJ37739.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
96-SRNP-11379-DHJ37740;96-SRNP-11379;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/1007-bungalotis-astylos-hesperidae;Bungalotis astylos;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion Gongora;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,887;-85,47443;10/21/1996;;;96-SRNP-11379-DHJ37740.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
96-SRNP-11379-DHJ37741;96-SRNP-11379;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/1007-bungalotis-astylos-hesperidae;Bungalotis astylos;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Estacion Gongora;Sector Cacao;Guanacaste;Costa Rica;;;Bosque Seco;10,887;-85,47443;10/21/1996;;;96-SRNP-11379-DHJ37741.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-1854-DHJ36790;03-SRNP-1854;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/360-i-bungalotis-diophorus-i-hesperiidae;Bungalotis diophorus;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;03/30/2003;;;03-SRNP-1854-DHJ36790.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-1854-DHJ36791;03-SRNP-1854;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/360-i-bungalotis-diophorus-i-hesperiidae;Bungalotis diophorus;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;03/30/2003;;;03-SRNP-1854-DHJ36791.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-33198-DHJ307250;04-SRNP-33198;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/360-i-bungalotis-diophorus-i-hesperiidae;Bungalotis diophorus;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;6/9/2004;;;04-SRNP-33198-DHJ307250.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-33198-DHJ307251;04-SRNP-33198;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/360-i-bungalotis-diophorus-i-hesperiidae;Bungalotis diophorus;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Pasmompa;Sector Pitilla;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01926;-85,40997;6/9/2004;;;04-SRNP-33198-DHJ307251.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-3609-DHJ307182;04-SRNP-3609;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/217-bungalotis-erythus-hesperiidae;Bungalotis erythus;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Puente Palma;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,9163;-85,37869;07/21/2004;;;04-SRNP-3609-DHJ307182.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
04-SRNP-3609-DHJ307183;04-SRNP-3609;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/217-bungalotis-erythus-hesperiidae;Bungalotis erythus;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Puente Palma;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,9163;-85,37869;07/21/2004;;;04-SRNP-3609-DHJ307183.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-20556-DHJ307180;05-SRNP-20556;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/217-bungalotis-erythus-hesperiidae;Bungalotis erythus;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Chon;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,04788;-85,45266;01/28/2005;;;05-SRNP-20556-DHJ307180.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-20556-DHJ307181;05-SRNP-20556;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/217-bungalotis-erythus-hesperiidae;Bungalotis erythus;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Chon;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,04788;-85,45266;01/28/2005;;;05-SRNP-20556-DHJ307181.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-4908-DHJ324262;05-SRNP-4908;;Bungalotis midas;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Puente Palma;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,9163;-85,37869;08/22/2005;;;05-SRNP-4908-DHJ324262.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
05-SRNP-4908-DHJ324263;05-SRNP-4908;;Bungalotis midas;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Puente Palma;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,9163;-85,37869;08/22/2005;;;05-SRNP-4908-DHJ324263.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
06-SRNP-21109-DHJ346336;06-SRNP-21109;;Bungalotis midas;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Uncaria;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01752;-85,47411;04/25/2006;;;06-SRNP-21109-DHJ346336.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
06-SRNP-21109-DHJ346337;06-SRNP-21109;;Bungalotis midas;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Uncaria;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,01752;-85,47411;04/25/2006;;;06-SRNP-21109-DHJ346337.jpg;ventral;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-1652-DHJ36574;03-SRNP-1652;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/612-i-bungalotis-i-quadratumdhj01-hesperridae;Bungalotis quadratumDHJ01;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Raiz;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,02865;-85,48669;02/15/2003;;;03-SRNP-1652-DHJ36574.jpg;dorsal;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
03-SRNP-1652-DHJ36575;03-SRNP-1652;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/612-i-bungalotis-i-quadratumdhj01-hesperridae;Bungalotis quadratumDHJ01;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Quebrada Raiz;Sector Del Oro;Guanacaste;Costa Rica;;;Bosque Lluvioso;11,02865;-85,48669;02/15/2003;;;03-SRNP-1652-DHJ36575.jpg;ventral;f;;Daniel H. Janzen;djanzen@sas.upenn.edu
01-SRNP-628-DHJ94904;01-SRNP-628;http://www.acguanacaste.ac.cr/paginas-de-especies/insectos/103-hesperiidae/612-i-bungalotis-i-quadratumdhj01-hesperridae;Bungalotis quadratumDHJ01;Bungalotis;Pyrginae;Hesperiidae;Lepidoptera;Insecta;Arthropoda;Animalia;Rio Blanco Abajo;Sector San Cristobal;Alajuela;Costa Rica;;;Bosque Lluvioso;10,90037;-85,37254;3/1/2001;;;01-SRNP-628-DHJ94904.jpg;dorsal;m;;Daniel H. Janzen;djanzen@sas.upenn.edu
